"date","jpy_per_usd","twd_per_usd","twd_per_jpy","log_return_twd_per_jpy"
2021-08-19,109.75,27.98,0.2549430523918,0.00656391028987469
2021-08-20,109.77,28.03,0.255352099845131,0.0016031801954175
2021-08-23,109.78,27.97,0.25478229185644,-0.0022339533853466
2021-08-24,109.68,27.92,0.2545587162655,-0.000877901452012386
2021-08-25,110.03,27.91,0.253658093247296,-0.00354425097370314
2021-08-26,110.09,27.92,0.253610682169134,-0.000186926854549574
2021-08-27,109.84,27.87,0.253732702112163,0.000481015222281167
2021-08-30,109.91,27.78,0.252752251842417,-0.0038715917887524
2021-08-31,110.05,27.66,0.251340299863698,-0.00560196998124729
2021-09-01,110.03,27.7,0.251749522857403,0.00162683904732996
2021-09-02,110.01,27.66,0.251431688028361,-0.00126330182620382
2021-09-03,109.64,27.61,0.251824151769427,0.0015596990222102
2021-09-06,,,,
2021-09-07,110.17,27.64,0.250884995915403,
2021-09-08,110.32,27.72,0.251269035532995,0.00152956928916081
2021-09-09,109.76,27.67,0.252095481049563,0.00328368898460307
