"date","symbol","company","sector","adjusted","simple_return","log_return"
2019-11-04,"AAPL","Apple Inc.","Information Technology",63.069748,0.00656692182210689,0.00654545352682145
2019-11-05,"AAPL","Apple Inc.","Information Technology",62.979137,-0.00143667927767835,-0.00143771229087619
2019-11-06,"AAPL","Apple Inc.","Information Technology",63.006065,0.000427570165021443,0.000427478782945023
2019-11-07,"AAPL","Apple Inc.","Information Technology",63.733238,0.0115413174906257,0.0114752245330143
2019-11-08,"AAPL","Apple Inc.","Information Technology",63.907677,0.00273701769240093,0.00273327888005337
2019-11-11,"AAPL","Apple Inc.","Information Technology",64.413734,0.00791856352406622,0.00788737623078095
2019-11-12,"AAPL","Apple Inc.","Information Technology",64.354767,-0.000915441418130018,-0.000915860690524184
2019-11-13,"AAPL","Apple Inc.","Information Technology",64.971397,0.00958172997503045,0.00953611634058671
2019-11-14,"AAPL","Apple Inc.","Information Technology",64.521835,-0.00691938330955082,-0.00694343324694113
2019-11-15,"AAPL","Apple Inc.","Information Technology",65.288315,0.0118793893571068,0.0118093832855495
2019-11-18,"AAPL","Apple Inc.","Information Technology",65.6175,0.00504202015322358,0.00502935173471464
2019-11-19,"AAPL","Apple Inc.","Information Technology",65.418518,-0.00303245323275042,-0.00303706043549745
2019-11-20,"AAPL","Apple Inc.","Information Technology",64.656944,-0.0116415660776664,-0.0117098596549123
2019-11-21,"AAPL","Apple Inc.","Information Technology",64.367065,-0.00448333902078637,-0.00449341932540648
2019-11-22,"AAPL","Apple Inc.","Information Technology",64.31057,-0.000877700420238179,-0.000878085824781216
2019-11-25,"AAPL","Apple Inc.","Information Technology",65.438156,0.0175334474566157,0.017381509987568
2019-11-26,"AAPL","Apple Inc.","Information Technology",64.927185,-0.00780845658303715,-0.00783910221443751
2019-11-27,"AAPL","Apple Inc.","Information Technology",65.799301,0.013432216412894,0.0133428039756165
2019-11-29,"AAPL","Apple Inc.","Information Technology",65.654358,-0.00220280455562891,-0.00220523429840558
2019-12-02,"AAPL","Apple Inc.","Information Technology",64.895241,-0.0115623246213146,-0.0116296880519622
2019-12-03,"AAPL","Apple Inc.","Information Technology",63.738152,-0.0178301056005016,-0.0179909770384645
2019-12-04,"AAPL","Apple Inc.","Information Technology",64.300728,0.0088263619566505,0.0087876373222322
2019-12-05,"AAPL","Apple Inc.","Information Technology",65.24408,0.0146709380957552,0.014564361009481
2019-12-06,"AAPL","Apple Inc.","Information Technology",66.504356,0.0193163272437899,0.0191321351585065
2019-12-09,"AAPL","Apple Inc.","Information Technology",65.573288,-0.0140001054968489,-0.0140990313742835
2019-12-10,"AAPL","Apple Inc.","Information Technology",65.956528,0.00584445300348521,0.00582744044192474
2019-12-11,"AAPL","Apple Inc.","Information Technology",66.519096,0.00852937559114693,0.00849320599103809
2019-12-12,"AAPL","Apple Inc.","Information Technology",66.688614,0.00254841106078766,0.00254516936759686
2019-12-13,"AAPL","Apple Inc.","Information Technology",67.595116,0.0135930550303535,0.0135014982159527
2019-12-16,"AAPL","Apple Inc.","Information Technology",68.75219,0.0171177160196011,0.016972858666632
2019-12-17,"AAPL","Apple Inc.","Information Technology",68.887329,0.00196559556866473,0.00196366631337153
2019-12-18,"AAPL","Apple Inc.","Information Technology",68.722725,-0.00238946700923761,-0.00239232634129305
2019-12-19,"AAPL","Apple Inc.","Information Technology",68.791519,0.0010010371387339,0.00100053643517839
2019-12-20,"AAPL","Apple Inc.","Information Technology",68.64904,-0.00207117101164745,-0.00207331885253748
2019-12-23,"AAPL","Apple Inc.","Information Technology",69.769279,0.0163183490985453,0.0161866358038179
2019-12-24,"AAPL","Apple Inc.","Information Technology",69.835609,0.000950704965720052,0.000950253331978956
2019-12-26,"AAPL","Apple Inc.","Information Technology",71.221161,0.0198401935608522,0.0196459420421293
2019-12-27,"AAPL","Apple Inc.","Information Technology",71.194138,-0.000379423750196937,-0.000379495749601055
2019-12-30,"AAPL","Apple Inc.","Information Technology",71.616661,0.00593480041854005,0.00591725886008554
2019-12-31,"AAPL","Apple Inc.","Information Technology",72.139954,0.00730686117857421,0.00728029539825314
2020-01-02,"AAPL","Apple Inc.","Information Technology",73.785919,0.0228162745986781,0.022559876117727
2020-01-03,"AAPL","Apple Inc.","Information Technology",73.068573,-0.00972199045186394,-0.00976955755002962
2020-01-06,"AAPL","Apple Inc.","Information Technology",73.650795,0.0079681588964383,0.00793658075386272
2020-01-07,"AAPL","Apple Inc.","Information Technology",73.304413,-0.00470303137936265,-0.00471412542888228
2020-01-08,"AAPL","Apple Inc.","Information Technology",74.483604,0.0160862211665211,0.0159582089084749
2020-01-09,"AAPL","Apple Inc.","Information Technology",76.065704,0.0212409163230071,0.0210184724871629
2020-01-10,"AAPL","Apple Inc.","Information Technology",76.237656,0.00226057199181387,0.00225802074308046
2020-01-13,"AAPL","Apple Inc.","Information Technology",77.866425,0.0213643635633289,0.0211393448276862
2020-01-14,"AAPL","Apple Inc.","Information Technology",76.814987,-0.0135030984150101,-0.0135950943404257
2020-01-15,"AAPL","Apple Inc.","Information Technology",76.485794,-0.00428553089516247,-0.00429474010300357
2020-01-16,"AAPL","Apple Inc.","Information Technology",77.443871,0.0125262084616655,0.0124484045639592
2020-01-17,"AAPL","Apple Inc.","Information Technology",78.301254,0.011071024587601,0.011010189388398
2020-01-21,"AAPL","Apple Inc.","Information Technology",77.770615,-0.0067768901887573,-0.00679995758494911
2020-01-22,"AAPL","Apple Inc.","Information Technology",78.048233,0.00356970302986533,0.00356334676217251
2020-01-23,"AAPL","Apple Inc.","Information Technology",78.424103,0.00481586815681024,0.00480430896061268
2020-01-24,"AAPL","Apple Inc.","Information Technology",78.198074,-0.00288213688590097,-0.00288629824006748
2020-01-27,"AAPL","Apple Inc.","Information Technology",75.898651,-0.0294051104123102,-0.0298461072343512
2020-01-28,"AAPL","Apple Inc.","Information Technology",78.045769,0.028289277499807,0.0278965257940005
2020-01-29,"AAPL","Apple Inc.","Information Technology",79.679459,0.0209324607974583,0.0207163869430564
2020-01-30,"AAPL","Apple Inc.","Information Technology",79.563988,-0.00144919407648086,-0.00145024517383519
2020-01-31,"AAPL","Apple Inc.","Information Technology",76.036232,-0.0443386020318639,-0.0453516148952904
